market,item_name,product_name,brand,price,product_url
savegnago,macarrao espaguete,macarrão de sêmola grano duro espaguete 8 adria pacote 500g,adria,6.99,https://www.savegnago.com.br/macarrao-grano-duro-adria-500g-spaguete/p
savegnago,extrato de tomate,extrato tomate elefante só tomate 300g,elefante,8.75,https://www.savegnago.com.br/extrato-tomate-elefante-so-tomate-300g/p
savegnago,extrato de tomate,extrato tomate elefante só tomate 300g com 2 unidades,elefante,15.75,https://www.savegnago.com.br/extrato-tomate-elefante-300g-com-2-unidades/p
savegnago,extrato de tomate,extrato tomate concentrado fugini 300g sachê,fugini,2.75,https://www.savegnago.com.br/extrato-tomate-fugini-300-sache/p
savegnago,extrato de tomate,extrato tomate predilecta 300g sache,predilecta,2.99,https://www.savegnago.com.br/extrato-tomate-predilecta-300g-sache/p
savegnago,extrato de tomate,extrato tomate elefante 300g,elefante,8.75,https://www.savegnago.com.br/extrato-tomate-elefante-300g/p
savegnago,extrato de tomate,extrato tomate elefante 275g tradicional,elefante,6.65,https://www.savegnago.com.br/extrato-tomate-elefante-275g-tradicional/p
savegnago,extrato de tomate,extrato de tomate elefante lata 130g,elefante,4.49,https://www.savegnago.com.br/extrato-tomate-elefante-130g-lata/p
savegnago,extrato de tomate,extrato de tomate quero 130g,quero,2.45,https://www.savegnago.com.br/extrato-de-tomate-quero-130g/p
savegnago,extrato de tomate,extrato de tomate elefante pote cebola e alho 300g,elefante,8.75,https://www.savegnago.com.br/extrato-de-tomate-elefante-pote-cebola-e-alho-300g/p
savegnago,extrato de tomate,extrato de tomate elefante 300g com 02 unidades,elefante,15.75,https://www.savegnago.com.br/extrato-de-tomate-elefante-300g-com-02-unidades/p
savegnago,extrato de tomate,extrato de tomate predilecta pote 300g,predilecta,6.45,https://www.savegnago.com.br/extrato-de-tomate-predilecta-pote-300g/p
savegnago,extrato de tomate,extrato tomate salsaretti 300g pote,salsaretti,7.79,https://www.savegnago.com.br/extrato-tomate-salsaretti-300g-pote/p
savegnago,extrato de tomate,extrato tomate elefante 535g tp,elefante,12.5,https://www.savegnago.com.br/extrato-tomate-elefante-535g-tp/p
savegnago,extrato de tomate,extrato tomate elefante sabores strogonoff 300g,elefante,8.75,https://www.savegnago.com.br/extrato-tomate-elefante-sabores-strogonoff-300g/p
savegnago,extrato de tomate,extrato de tomate predilecta cebola e alho pote 300g,predilecta,6.99,https://www.savegnago.com.br/extrato-de-tomate-predilecta-cebola-e-alho-pote-300g/p
savegnago,cebola,cebola nacional - 1kg,in natura,3.79,https://www.savegnago.com.br/cebola-nacional-kg/p
savegnago,cebola,cebola miuda bandeja 320g,in natura,6.97,https://www.savegnago.com.br/cebola-miuda-bandeja-320g/p
savegnago,cebola,cebola roxa 1kg,in natura,8.98,https://www.savegnago.com.br/cebola-roxa-1kg/p
savegnago,cebola,cebola roxa turma da mônica 400g,turma da monica,7.98,https://www.savegnago.com.br/cebola-roxa-turma-da-monica-400g/p
savegnago,cebola,cebola organica solo vivo 500g,solo vivo,7.45,https://www.savegnago.com.br/cebola-organica-solo-vivo-600g/p
savegnago,cebola,cebola colossal turma da mônica pacote 400g,turma da monica,7.98,https://www.savegnago.com.br/cebola-colossal-turma-da-monica-pacote-400g/p
savegnago,alho,alho 500g,in natura,18.95,https://www.savegnago.com.br/alho-granel-kg/p
